local_gov,tax_type,vendor_num,fy_year,fy_total,local_gov_type
Abingdon,CUT,380000010,2020,820.65,muni
Abingdon,CUT,380000010,2021,3256.87,muni
Abingdon,INC,380000010,2006,285263.74,muni
Abingdon,INC,380000010,2007,312986.24,muni
Abingdon,INC,380000010,2008,339565.59,muni
Abingdon,INC,380000010,2009,312178.36,muni
Abingdon,INC,380000010,2012,283319.65,muni
Abingdon,INC,380000010,2013,311348.44,muni
Abingdon,INC,380000010,2014,316404.59,muni
Abingdon,INC,380000010,2015,340397.22,muni
Abingdon,INC,380000010,2016,336421.91,muni
Abingdon,INC,380000010,2017,314307.62,muni
Abingdon,INC,380000010,2018,300032.22,muni
Abingdon,INC,380000010,2019,343153.99,muni
Abingdon,INC,380000010,2020,326452.05,muni
Abingdon,INC,380000010,2021,431142.87,muni
Abingdon,INC,390000010,2010,274125.99000000005,muni
Abingdon,INC,390000010,2011,280300.54,muni
Abingdon,ULO,380000010,2006,43580.13,muni
Abingdon,ULO,380000010,2007,46754,muni
Abingdon,ULO,380000010,2008,50644.07,muni
Abingdon,ULO,380000010,2009,51268.56,muni
Abingdon,ULO,380000010,2012,48441.09,muni
Abingdon,ULO,380000010,2013,52623.25,muni
Abingdon,ULO,380000010,2014,58117.95,muni
Abingdon,ULO,380000010,2015,67058.76,muni
Abingdon,ULO,380000010,2016,76615.76,muni
Abingdon,ULO,380000010,2017,81834.71,muni
Abingdon,ULO,380000010,2018,87301.24,muni
Abingdon,ULO,380000010,2019,100907.97,muni
Abingdon,ULO,380000010,2020,116141.76,muni
Abingdon,ULO,380000010,2021,149312.32,muni
Abingdon,ULO,390000010,2010,43263.33,muni
Abingdon,ULO,390000010,2011,51092.350000000006,muni
Adams,CUT,280000001,2020,4903.36,county
Adams,CUT,280000001,2021,19459.83,county
Adams,INC,280000001,2006,1650849.59,county
Adams,INC,280000001,2007,1811282.43,county
Adams,INC,280000001,2008,1965099.78,county
Adams,INC,280000001,2009,1806607.1,county
Adams,INC,280000001,2012,1692831.58,county
Adams,INC,280000001,2013,1860304.77,county
Adams,INC,280000001,2014,1890516.04,county
Adams,INC,280000001,2015,2033872.79,county
Adams,INC,280000001,2016,2010120.82,county
Adams,INC,280000001,2017,1877984.99,county
Adams,INC,280000001,2018,1792688.82,county
Adams,INC,280000001,2019,2050342.07,county
Adams,INC,280000001,2020,1950548.63,county
Adams,INC,280000001,2021,2576075.53,county
Adams,INC,290000001,2010,1586394.33,county
Adams,INC,290000001,2011,1625849.71,county
