local_gov,tax_type,vendor_num,fy_year,fy_total
ABINGDON,MT,390000010,2006,161148.7
ABINGDON,MT,390000010,2007,162738.05
ABINGDON,MT,390000010,2008,171264.81999999998
ABINGDON,MT,390000010,2009,171161.86
ABINGDON,MT,390000010,2010,171798.31
ABINGDON,MT,390000010,2011,178202.84
ABINGDON,MT,390000010,2012,187445.4
ABINGDON,MT,390000010,2013,186580.02
ABINGDON,MT,390000010,2014,177733.47
ABINGDON,MT,390000010,2015,180452.88
ABINGDON,MT,390000010,2016,169166.34
ABINGDON,MT,390000010,2017,165371.01
ABINGDON,MT,390000010,2018,186995.83
ABINGDON,MT,390000010,2019,172072.6
ABINGDON,MT,390000010,2020,173175.78
ABINGDON,MT,390000010,2021,179833.02
ADAMS COUNTY GOVERNMENT,CST,290000001,2006,1762265.41
ADAMS COUNTY GOVERNMENT,CST,290000001,2007,1812424.6500000001
ADAMS COUNTY GOVERNMENT,CST,290000001,2008,1900609.98
ADAMS COUNTY GOVERNMENT,CST,290000001,2009,1926756.78
ADAMS COUNTY GOVERNMENT,CST,290000001,2010,1872649.56
ADAMS COUNTY GOVERNMENT,CST,290000001,2011,2033245.26
ADAMS COUNTY GOVERNMENT,CST,290000001,2012,2026170.2
ADAMS COUNTY GOVERNMENT,CST,290000001,2013,2071669.21
ADAMS COUNTY GOVERNMENT,CST,290000001,2014,2170099.68
ADAMS COUNTY GOVERNMENT,CST,290000001,2015,2199682.7
ADAMS COUNTY GOVERNMENT,CST,290000001,2016,2230466.37
ADAMS COUNTY GOVERNMENT,CST,290000001,2017,2200932.49
ADAMS COUNTY GOVERNMENT,CST,290000001,2018,2159355.94
ADAMS COUNTY GOVERNMENT,CST,290000001,2019,2201646.46
ADAMS COUNTY GOVERNMENT,CST,290000001,2020,2231386.91
ADAMS COUNTY GOVERNMENT,CST,290000001,2021,2358033.22
ADAMS COUNTY GOVERNMENT,CT,290000001,2006,468342.32
ADAMS COUNTY GOVERNMENT,CT,290000001,2007,454832.92000000004
ADAMS COUNTY GOVERNMENT,CT,290000001,2008,564542.26
ADAMS COUNTY GOVERNMENT,CT,290000001,2009,538450.21
ADAMS COUNTY GOVERNMENT,CT,290000001,2010,505710.9
ADAMS COUNTY GOVERNMENT,CT,290000001,2011,624419.61
ADAMS COUNTY GOVERNMENT,CT,290000001,2012,478117.82
ADAMS COUNTY GOVERNMENT,CT,290000001,2013,533123.37
ADAMS COUNTY GOVERNMENT,CT,290000001,2014,714377.74
ADAMS COUNTY GOVERNMENT,CT,290000001,2015,619946.95
ADAMS COUNTY GOVERNMENT,CT,290000001,2016,629471.76
ADAMS COUNTY GOVERNMENT,CT,290000001,2017,591421.63
ADAMS COUNTY GOVERNMENT,CT,290000001,2018,573571.01
ADAMS COUNTY GOVERNMENT,CT,290000001,2019,631064.94
ADAMS COUNTY GOVERNMENT,CT,290000001,2020,813661.4
ADAMS COUNTY GOVERNMENT,CT,290000001,2021,731971.04
ADAMS COUNTY GOVERNMENT,CTPS,290000001,2016,1345912.72
ADAMS COUNTY GOVERNMENT,CTPS,290000001,2017,1788223.95
ADAMS COUNTY GOVERNMENT,CTPS,290000001,2018,1726449.72
ADAMS COUNTY GOVERNMENT,CTPS,290000001,2019,1747183.73
ADAMS COUNTY GOVERNMENT,CTPS,290000001,2020,1727673.7
ADAMS COUNTY GOVERNMENT,CTPS,290000001,2021,1836969.61
ADDIEVILLE,MT,390000018,2006,39569.9
ADDIEVILLE,MT,390000018,2007,38279.28
ADDIEVILLE,MT,390000018,2008,40953.78999999999
ADDIEVILLE,MT,390000018,2009,37921.98
ADDIEVILLE,MT,390000018,2010,42015.1
ADDIEVILLE,MT,390000018,2011,40373.11
ADDIEVILLE,MT,390000018,2012,47208.14
ADDIEVILLE,MT,390000018,2013,49300.32
ADDIEVILLE,MT,390000018,2014,44350.01
ADDIEVILLE,MT,390000018,2015,45974.66
ADDIEVILLE,MT,390000018,2016,51388.56
ADDIEVILLE,MT,390000018,2017,51213.83
ADDIEVILLE,MT,390000018,2018,46596
ADDIEVILLE,MT,390000018,2019,44950.33
ADDIEVILLE,MT,390000018,2020,43486.3
ADDIEVILLE,MT,390000018,2021,53468.6
ADDISON,HMR,390000029,2006,4103429.4
ADDISON,HMR,390000029,2007,4473614.45
ADDISON,HMR,390000029,2008,4874355.78
ADDISON,HMR,390000029,2009,5060187.02
ADDISON,HMR,390000029,2010,4215061.01
ADDISON,HMR,390000029,2011,4559974.109999999
ADDISON,HMR,390000029,2012,5232699.29
ADDISON,HMR,390000029,2013,6225533.44
ADDISON,HMR,390000029,2014,6919484.48
ADDISON,HMR,390000029,2015,6959527.14
ADDISON,HMR,390000029,2016,7897064.41
ADDISON,HMR,390000029,2017,7392818.76
ADDISON,HMR,390000029,2018,7621792.39
ADDISON,HMR,390000029,2019,8132963.17
ADDISON,HMR,390000029,2020,8524195.6
ADDISON,HMR,390000029,2021,8398599.08
ADDISON,MT,390000029,2006,6534492.34
ADDISON,MT,390000029,2007,6986707.05
ADDISON,MT,390000029,2008,7597320.13
ADDISON,MT,390000029,2009,7941387.18
ADDISON,MT,390000029,2010,6748875.49
ADDISON,MT,390000029,2011,7293883.55
ADDISON,MT,390000029,2012,7900571.7
ADDISON,MT,390000029,2013,7668743.32
ADDISON,MT,390000029,2014,8305359.61
ADDISON,MT,390000029,2015,8545336.63
ADDISON,MT,390000029,2016,9714632.24
ADDISON,MT,390000029,2017,9269050.17
ADDISON,MT,390000029,2018,9777106.98
