ExistingRecord,CensusName
cave in rock,Cave-In-Rock
de kalb,DeKalb
dewitt,De Witt
dubois,Du Bois
duquoin,Du Quoin
east hazelcrest,East Hazel Crest
goldengate,Golden Gate
jeiseyville,Jeisyville
laharpe,La Harpe
laprairie,La Prairie
larose,La Rose
lasalle,La Salle
mc henry,McHenry
mchenry,McHenry
pocahantas,Pocahontas
Sainte Marie,Ste. Marie
New Millford,New Milford
Clear Lake Village,Clear Lake
donnelson,Donnellson
eagerville,Eagarville
Glendale Hts,Glendale Heights
St. John,St. Johns
Veinna Twp Road & Bridge,Vienna Twp Road & Bridge
