district number,county,fy_min,fy_max,name,names,pop
0100100102600,001,1997,2019,payson cusd 1,"community unit schoo,payson cusd 1,payson comm unit school dist 1",520.76
0100100202600,001,1997,2019,liberty cusd 2,"liberty community un,liberty cusd,liberty comm unit school dist 2,liberty cusd 2",604.82
0100100302600,001,1997,2019,central cusd 3,"community unit schoo,camp point c u school dist 3,central cusd #3,central cusd 3",781.19
0100100402600,001,1997,2019,cusd 4,"mendon community uni,community unit school dist 4,cusd 4",631.47
0100117202200,001,1997,2019,quincy sd 172,"quincy school distri,quincy school district 172,quincy sd 172",5548.71
0100500102600,005,2015,2019,brown county cusd 1,brown county cusd 1,661.7
0100901502600,009,2015,2019,beardstown cusd 15,beardstown cusd 15,1297.3
0100906402600,009,2015,2019,virginia cusd 64,virginia cusd 64,267.38
0100926202600,009,2015,2019,a-c central cusd 262,a-c central cusd 262,354.78
0106900102600,069,2015,2019,franklin cusd 1,franklin cusd 1,258.27
0106900602600,069,2015,2019,waverly cusd 6,waverly cusd 6,283.32
0106901102600,069,2015,2019,meredosia-chambersburg cusd 11,meredosia-chambersburg cusd 11,156.48
0106902702600,069,2015,2019,triopia cusd 27,triopia cusd 27,355.63
0106911702200,069,2015,2019,jacksonville sd 117,jacksonville sd 117,3020.95
0107500102600,075,1997,2007,barry cusd 1,"barry community unit,barry comm unit school dist 1,barry cusd 1",351.93
0107500202600,075,1997,2007,west pike cusd 2,"west pike community,west pike comm unit sch dist 2,west pike cusd 2",224.72
0107500302600,075,1997,2019,pleasant hill cusd 3,"pleasant hill commun,pleasant hill c u sch dist 3,pleasant hill cusd 3",290.35
0107500402600,075,1997,2019,griggsville-perry cusd 4,"griggsville perry cu,griggsville perry,griggsville-perry cu,griggsville-perry c u sch dist 4,griggsville-perry cusd 4",331.63
0107501002600,075,1997,2019,pikeland cusd 10,"pikeland community u,pikeland c u sch dist 10,pikeland cusd 10",1085.71
0107501202600,075,2008,2019,western cusd 12,"western usd 12,western cusd 12",560.6
0108600102600,086,2015,2019,winchester cusd 1,winchester cusd 1,568.84
0108600202600,086,2015,2019,scott-morgan cusd 2,scott-morgan cusd 2,211.83
0200200102200,002,1997,2014,cairo usd 1,"cairo unit sch,cairo school distric,cairo unit school district 1,cairo usd 1",437.56
0200200502600,002,1997,2014,egyptian cusd 5,"egyptian community u,egyptian community s,egyptian comm unit sch dist 5,egyptian cusd 5",477.4
0204400102600,044,1997,2014,goreville cud 1,"goreville community,goreville comm unit dist 1,goreville cud 1",540.32
0204403200300,044,1997,2014,new simpson hill sd 32,"new simpson hill sch,new simpson hill cons dist 32,new simpson hill sd 32",205.08
0204404300300,044,1997,2014,buncombe cons sd 43,"buncombe school dist,buncombe cons school dist 43,buncombe cons sd 43",61.6
0204405500200,044,1997,2014,vienna sd 55,"vienna public school,vienna school dist 55,vienna sd 55",395.86
0204406400200,044,1997,2014,cypress sd 64,"cypress elementary s,cypress school dist 64,cypress sd 64",120.95
0204413301700,044,1997,2014,vienna hsd 133,"vienna high school,vienna h s district 133,vienna hsd 133",305.07
0206100102600,061,1997,2014,massac ud 1,"massac county commun,massac unit district #1,massac ud 1",1984.14
0206103802600,061,1997,2014,joppa-maple grove ud 38,"joppa-maple grove,joppa-maple grove sc,joppa-maple grove unit dist 38,joppa-maple grove ud 38",256.93
0207710002600,077,1997,2014,century cusd 100,"century community  u,century community un,century comm unit sch dist 100,century cusd 100",376.58
0207710102600,077,1997,2014,meridian cusd 101,"meridian community u,meridian c u sch district 101,meridian cusd 101",506.43
0209101600400,091,1997,2014,lick creek ccsd 16,"lick creek community,lick creek c c sch district 16,lick creek ccsd 16",117.09
0209101702200,091,1997,2014,cobden sud 17,"cobden unit school d,cobden sch unit dist 17,cobden sud 17",538.53
0209103700400,091,1997,2014,anna ccsd 37,"anna community conso,anna community  cons,anna c c sch dist 37,anna ccsd 37",670.02
0209104300400,091,1997,2014,county of union sch dist no43,"jonesboro community,jonesboro c c school dist 43,jonesboro ccsd 43,county of union sch dist no43",374.49
0209106602200,091,1997,2014,dongola usd 66,"dongola unit school,dongola sch unit dist 66,dongola sud 66,dongola usd 66",242.28
0209108101600,091,1997,2014,anna jonesboro chsd 81,"anna-jonesboro commu,anna jonesboro commu,anna jonesboro comm h s dist 81,anna jonesboro chsd 81",415.16
0209108402600,091,1997,2014,shawnee cusd 84,"shawnee unit school,shawnee c u sch dist 84,shawnee cusd 84",323.05
0300300102600,003,1997,2019,mulberry grove cusd 1,"mulberry grove commu,mulberry grove c u sch dist 1,mulberry grove cusd 1",376.05
0300300202600,003,1997,2019,bond county cusd 2,"bond county communit,bond co c u school dist 2,bond county cusd 2",1702.32
0301100102600,011,2015,2019,morrisonville cusd 1,morrisonville cusd 1,268.25
0301100302600,011,2015,2019,taylorville cusd 3,taylorville cusd 3,2150.28
0301100402600,011,2015,2019,edinburg cusd 4,edinburg cusd 4,202.12
0301100802600,011,2015,2019,pana cusd 8,pana cusd 8,1150.8
0301101402400,011,2015,2019,south fork sd 14,south fork sd 14,257.13
0302501002600,025,1997,2019,altamont cusd 10,"altamont community u,altamont comm unit sch dist 10,altamont cusd 10",601.17
0302502002600,025,1997,2019,beecher city cusd 20,"beecher city communi,beecher city c u school dist 20,beecher city cusd 20",286.52
0302503002600,025,1997,2019,dieterich cusd 30,"dieterich cu,dieterich community,dietrich community u,dieterich comm unit sch dist 30,dieterich cusd 30",499.81
0302504002600,025,1997,2019,effingham cusd 40,"effingham community,effingham comm unit sch dist 40,effingham cusd 40",2294.85
0302505002600,025,1997,2019,teutopolis cusd 50,"teutopolis community,teutopolis c u school dist 50,teutopolis cusd 50",965.95
0302620102600,026,1997,2019,brownstown cusd 201,"brownstown community,brownstown c u sch dist 201,brownstown cusd 201",333.04
0302620202600,026,1997,2019,st elmo cusd 202,"st. elmo community u,st elmo community un,st elmo c u school dist 202,st elmo cusd 202",397.34
0302620302600,026,1997,2019,vandalia cusd 203,"vandalia community s,vandalia community,vandalia c u sch dist 203,vandalia cusd 203",1270.68
0302620402600,026,1997,2019,ramsey cusd 204,"ramsey community uni,ramsey comm unit sch dist 204,ramsey cusd 204",406.32
0306800202600,068,2015,2019,panhandle cusd 2,panhandle cusd 2,429.42
0306800302600,068,2015,2019,hillsboro cusd 3,hillsboro cusd 3,1530.32
0306801202600,068,2015,2019,litchfield cusd 12,litchfield cusd 12,1308.14
0306802202600,068,2015,2019,nokomis cusd 22,nokomis cusd 22,602.47
0400410002600,004,1997,2019,belvidere cusd 100,"belvidere community,belvidere c u sch dist 100,belvidere cusd 100",7176.61
0400420002600,004,1997,2019,north boone cusd 200,"north boone communit,north boone c u sch dist 200,north boone cusd 200",1513.76
0410112202200,101,1997,2019,harlem ud 122,"harlem consolidated,harlem conslidated,harlem unit district,harlem unit dist 122,harlem ud 122",5940.48
0410113100400,101,1997,2019,kinnikinnick ccsd 131,"kinnikinnick communi,kinnikinnick c c sch dist 131,kinnikinnick ccsd 131",1600.48
0410113300400,101,1997,2019,prairie hill ccsd 133,"prairie hill communi,prairie hill c c sch dist 133,prairie hill ccsd 133",662.54
0410113400400,101,1997,2019,shirland ccsd 134,"shirland community c,shirland c c school dist 134,shirland ccsd 134",101.19
0410114000400,101,1997,2019,rockton sd 140,"rockton,rockton school distr,rockton sch dist 140,rockton sd 140",1466.33
